Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
38,Entry short,2026-03-23 12:20,Short,22527.3,44,991201.2,-1392.6,-0.14,2466.2,0.25,-1762.2,-0.18,9881,0.99
39,Exit long,2026-03-30 13:20,ATR_LONG,22485.3,44,989258.6,94.6,0.01,4899.4,0.50,-178.2,-0.02,9975.6,1.00
39,Entry long,2026-03-30 12:00,Long,22483.15,44,989258.6,94.6,0.01,4899.4,0.50,-178.2,-0.02,9975.6,1.00
40,Exit long,2026-04-16 15:05,ZONE_LONG,24202.7,41,993881,-1570.3,-0.16,6.15,0.00,-2177.1,-0.22,8405.3,0.84
40,Entry long,2026-04-16 14:55,Long,24241,41,993881,-1570.3,-0.16,6.15,0.00,-2177.1,-0.22,8405.3,0.84
41,Exit long,2026-04-22 13:25,ATR_LONG,24393.9,41,1001703.8,-1553.9,-0.16,241.9,0.02,-1900.35,-0.19,6851.4,0.69
41,Entry long,2026-04-22 13:00,Long,24431.8,41,1001703.8,-1553.9,-0.16,241.9,0.02,-1900.35,-0.19,6851.4,0.69
42,Exit short,2026-04-28 14:45,ATR_SHORT,24032,41,990264.8,4952.8,0.50,7853.55,0.79,-895.85,-0.09,11804.2,1.18
42,Entry short,2026-04-28 10:35,Short,24152.8,41,990264.8,4952.8,0.50,7853.55,0.79,-895.85,-0.09,11804.2,1.18
43,Exit short,2026-04-29 15:20,3:15 Daily Exit,24157.3,41,996597.25,6147.95,0.62,6213.55,0.62,-399.75,-0.04,17952.15,1.80
43,Entry short,2026-04-29 13:30,Short,24307.25,41,996597.25,6147.95,0.62,6213.55,0.62,-399.75,-0.04,17952.15,1.80
44,Exit long,2026-04-30 14:20,ATR_LONG,23996.2,42,1005851.7,1988.7,0.20,4714.5,0.47,-441,-0.04,19940.85,1.99
44,Entry long,2026-04-30 13:15,Long,23948.85,42,1005851.7,1988.7,0.20,4714.5,0.47,-441,-0.04,19940.85,1.99
45,Exit long,2026-05-06 15:20,3:15 Daily Exit,24331.15,42,1009675.8,12232.5,1.21,13297.2,1.32,-151.2,-0.01,32173.35,3.22
45,Entry long,2026-05-06 13:15,Long,24039.9,42,1009675.8,12232.5,1.21,13297.2,1.32,-151.2,-0.01,32173.35,3.22
46,Exit short,2026-05-07 15:20,3:15 Daily Exit,24329,42,1020736.5,-1081.5,-0.11,161.7,0.02,-1110.9,-0.11,31091.85,3.11
46,Entry short,2026-05-07 15:15,Short,24303.25,42,1020736.5,-1081.5,-0.11,161.7,0.02,-1110.9,-0.11,31091.85,3.11
47,Exit long,2026-05-11 14:15,ATR_LONG,23945.25,43,1027682.8,1962.95,0.19,4207.55,0.41,-2334.9,-0.23,33054.8,3.31
47,Entry long,2026-05-11 10:10,Long,23899.6,43,1027682.8,1962.95,0.19,4207.55,0.41,-2334.9,-0.23,33054.8,3.31
48,Exit long,2026-05-13 15:05,ATR_LONG,23418.8,43,1011209.5,-4201.1,-0.42,253.7,0.03,-4310.75,-0.43,28853.7,2.89
48,Entry long,2026-05-13 14:15,Long,23516.5,43,1011209.5,-4201.1,-0.42,253.7,0.03,-4310.75,-0.43,28853.7,2.89
49,Exit long,2026-05-18 12:00,ATR_LONG,23474.75,44,1027888.4,5000.6,0.49,8872.6,0.86,-915.2,-0.09,33854.3,3.39
49,Entry long,2026-05-18 10:05,Long,23361.1,44,1027888.4,5000.6,0.49,8872.6,0.86,-915.2,-0.09,33854.3,3.39
50,Exit long,2026-05-18 14:40,ATR_LONG,23586.6,43,1015681.5,-1457.7,-0.14,1672.7,0.16,-1575.95,-0.16,32396.6,3.24
50,Entry long,2026-05-18 13:20,Long,23620.5,43,1015681.5,-1457.7,-0.14,1672.7,0.16,-1575.95,-0.16,32396.6,3.24
51,Exit short,2026-05-21 15:20,3:15 Daily Exit,23636.6,43,1016636.1,262.3,0.03,498.8,0.05,-2696.1,-0.27,32658.9,3.27
51,Entry short,2026-05-21 14:10,Short,23642.7,43,1016636.1,262.3,0.03,498.8,0.05,-2696.1,-0.27,32658.9,3.27
52,Exit short,2026-05-22 15:20,Long,23725.7,43,1023064.6,2859.5,0.28,4009.75,0.39,-146.2,-0.01,35518.4,3.55
52,Entry short,2026-05-22 14:00,Short,23792.2,43,1023064.6,2859.5,0.28,4009.75,0.39,-146.2,-0.01,35518.4,3.55
53,Exit long,2026-05-22 15:25,3:15 Daily Exit,23741.75,43,1020205.1,690.15,0.07,705.2,0.07,-176.3,-0.02,36208.55,3.62
53,Entry long,2026-05-22 15:20,Long,23725.7,43,1020205.1,690.15,0.07,705.2,0.07,-176.3,-0.02,36208.55,3.62
54,Exit short,2026-05-25 13:05,ATR_SHORT,23972.7,43,1029557.6,-1268.5,-0.12,808.4,0.08,-2266.1,-0.22,34940.05,3.49
54,Entry short,2026-05-25 09:40,Short,23943.2,43,1029557.6,-1268.5,-0.12,808.4,0.08,-2266.1,-0.22,34940.05,3.49
55,Exit short,2026-05-25 14:35,ATR_SHORT,23989.3,43,1030522.95,-1016.95,-0.10,447.2,0.04,-1016.95,-0.10,33923.1,3.39
55,Entry short,2026-05-25 13:45,Short,23965.65,43,1030522.95,-1016.95,-0.10,447.2,0.04,-1016.95,-0.10,33923.1,3.39
56,Exit long,2026-05-27 10:45,ZONE_LONG,23936.2,43,1029540.4,-283.8,-0.03,1214.75,0.12,-359.05,-0.03,33639.3,3.36
56,Entry long,2026-05-27 10:15,Long,23942.8,43,1029540.4,-283.8,-0.03,1214.75,0.12,-359.05,-0.03,33639.3,3.36
57,Exit short,2026-05-27 15:20,ATR_SHORT,23919.85,43,1027222.7,-1330.85,-0.13,1317.95,0.13,-1631.85,-0.16,32308.45,3.23
57,Entry short,2026-05-27 13:20,Short,23888.9,43,1027222.7,-1330.85,-0.13,1317.95,0.13,-1631.85,-0.16,32308.45,3.23
58,Exit short,2026-05-29 14:35,ATR_SHORT,23792.65,43,1026274.55,3190.6,0.31,5830.8,0.57,-10.75,0.00,35499.05,3.55
58,Entry short,2026-05-29 12:10,Short,23866.85,43,1026274.55,3190.6,0.31,5830.8,0.57,-10.75,0.00,35499.05,3.55
59,Exit long,2026-06-01 14:10,ATR_LONG,23425.55,44,1033443.4,-2719.2,-0.26,165,0.02,-2809.4,-0.27,32779.85,3.28
59,Entry long,2026-06-01 13:40,Long,23487.35,44,1033443.4,-2719.2,-0.26,165,0.02,-2809.4,-0.27,32779.85,3.28
60,Exit long,2026-06-04 11:50,Short,23439.3,44,1030541.6,787.6,0.08,1799.6,0.17,-2725.8,-0.26,33567.45,3.36
60,Entry long,2026-06-04 10:55,Long,23421.4,44,1030541.6,787.6,0.08,1799.6,0.17,-2725.8,-0.26,33567.45,3.36
61,Exit short,2026-06-04 15:15,Long,23417.05,44,1031329.2,979,0.09,5550.6,0.54,-1144,-0.11,34546.45,3.45
61,Entry short,2026-06-04 11:50,Short,23439.3,44,1031329.2,979,0.09,5550.6,0.54,-1144,-0.11,34546.45,3.45
62,Exit long,2026-06-04 15:20,3:15 Daily Exit,23419.6,44,1030350.2,112.2,0.01,501.6,0.05,-178.2,-0.02,34658.65,3.47
62,Entry long,2026-06-04 15:15,Long,23417.05,44,1030350.2,112.2,0.01,501.6,0.05,-178.2,-0.02,34658.65,3.47
63,Exit short,2026-06-05 14:45,ATR_SHORT,23398.05,44,1029507.6,-6.6,0.00,5071,0.49,-2523.4,-0.25,34652.05,3.47
63,Entry short,2026-06-05 12:00,Short,23397.9,44,1029507.6,-6.6,0.00,5071,0.49,-2523.4,-0.25,34652.05,3.47
64,Exit short,2026-06-10 11:40,ATR_SHORT,23406.5,44,1027875.2,-2010.8,-0.20,37.4,0.00,-2094.4,-0.20,32641.25,3.26
64,Entry short,2026-06-10 11:20,Short,23360.8,44,1027875.2,-2010.8,-0.20,37.4,0.00,-2094.4,-0.20,32641.25,3.26
65,Exit short,2026-06-15 14:35,ATR_SHORT,23924,43,1030617.55,1885.55,0.18,4386,0.43,-649.3,-0.06,34526.8,3.45
65,Entry short,2026-06-15 11:15,Short,23967.85,43,1030617.55,1885.55,0.18,4386,0.43,-649.3,-0.06,34526.8,3.45
66,Exit short,2026-06-16 13:25,ATR_SHORT,23956.35,43,1029708.1,-414.95,-0.04,1864.05,0.18,-655.75,-0.06,34111.85,3.41
66,Entry short,2026-06-16 11:05,Short,23946.7,43,1029708.1,-414.95,-0.04,1864.05,0.18,-655.75,-0.06,34111.85,3.41
67,Exit short,2026-06-17 13:35,ATR_SHORT,24045.55,42,1011072.3,1159.2,0.11,2826.6,0.28,-1472.1,-0.15,35271.05,3.53
67,Entry short,2026-06-17 11:05,Short,24073.15,42,1011072.3,1159.2,0.11,2826.6,0.28,-1472.1,-0.15,35271.05,3.53
68,Exit short,2026-06-18 12:05,ATR_SHORT,24089,42,1012941.3,1203.3,0.12,3389.4,0.33,-871.5,-0.09,36474.35,3.65
68,Entry short,2026-06-18 10:05,Short,24117.65,42,1012941.3,1203.3,0.12,3389.4,0.33,-871.5,-0.09,36474.35,3.65
69,Exit long,2026-06-18 14:10,ATR_LONG,24097.95,43,1036340.85,-129,-0.01,1520.05,0.15,-273.05,-0.03,36345.35,3.63
69,Entry long,2026-06-18 12:25,Long,24100.95,43,1036340.85,-129,-0.01,1520.05,0.15,-273.05,-0.03,36345.35,3.63
